[29-May-2008 19:39:47] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 19:39:47] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 19:42:39] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 19:42:39] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 19:45:05] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:52:36] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/schiffscan.php on line 14
[29-May-2008 19:55:30] PHP Warning:  session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at /www/htdocs/w0066545/game/login.php:26) in /www/htdocs/w0066545/game/head.php on line 2
[29-May-2008 19:56:12] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 19:57:08] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:01:22] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:28:52] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:34:42] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:35:06] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 20:35:06] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 20:37:31] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:37:33] PHP Warning:  session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at /www/htdocs/w0066545/game/login.php:26) in /www/htdocs/w0066545/game/head.php on line 2
[29-May-2008 20:37:37] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:38:09] PHP Warning:  session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at /www/htdocs/w0066545/game/login.php:26) in /www/htdocs/w0066545/game/head.php on line 2
[29-May-2008 20:38:46] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:38:55] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:38:57] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 20:38:57] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 20:40:06] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:40:13] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:40:22] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/flotte.php on line 290
[29-May-2008 20:40:37] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:41:56] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:42:51] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:43:33] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:44:28] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:45:58] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:46:16] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:46:47] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:48:12] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:48:58] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:51:02] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:52:05] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 20:52:05] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 20:53:43] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:53:50] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:53:55] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:54:01] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:54:54] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:55:35] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 20:56:13] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/flotte.php on line 290
[29-May-2008 20:56:41] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
